Lag,ACF
0,1.0
1,0.9983586271442771
2,0.9967955702568647
3,0.9952654465438486
4,0.99382750593757
5,0.992329497392682
6,0.9907621512757705
7,0.9893256725766469
8,0.9877936969870431
9,0.9863058554986538
10,0.9846526581673137
11,0.9831261921253839
12,0.9816540674010356
13,0.9802031703280126
14,0.9787864905346467
15,0.9773388172451551
16,0.9759803747154179
17,0.97448909269767
18,0.9730244590357847
19,0.9715289887640075
20,0.9700604483938016
21,0.9686376455267044
22,0.96712472597884
23,0.9656364386135601
24,0.9642231738429984
25,0.962949954840288
26,0.9616519850084672
27,0.9603422657756043
28,0.9590593501097866
29,0.9577527882130802
30,0.9564771341526103
31,0.9552182837295372
32,0.9539793042064082
33,0.952768010773808
34,0.9515611623888025
35,0.9502808176524202
36,0.9490235632634242
37,0.9477720635839099
38,0.9465249390729948
39,0.9453117827747778
40,0.944127802838637
